Región de residencia habitual actual,Comuna de residencia habitual actual,Población censada
Los Ríos,Lanco,16876.0
Los Ríos,Los Lagos,21431.0
Los Ríos,Máfil,8074.0
Los Ríos,Mariquina,22973.0
Los Ríos,Paillaco,19802.0
Los Ríos,Panguipulli,35098.0
Los Ríos,La Unión,38907.0
Los Ríos,Futrono,15635.0
Los Ríos,Lago Ranco,10527.0
Los Ríos,Río Bueno,33363.0
Los Lagos,Puerto Montt,277040.0
Los Lagos,Calbuco,36474.0
Los Lagos,Cochamó,4199.0
Los Lagos,Fresia,12320.0
Los Lagos,Frutillar,22554.0
Los Lagos,Los Muermos,17162.0
Los Lagos,Llanquihue,18088.0
Los Lagos,Maullín,15063.0
Los Lagos,Puerto Varas,52942.0
Los Lagos,Castro,46997.0
Los Lagos,Ancud,40949.0
Los Lagos,Chonchi,16078.0
Los Lagos,Curaco de Vélez,3662.0
Los Lagos,Dalcahue,14894.0
Los Lagos,Puqueldón,4048.0
Los Lagos,Queilén,5690.0
Los Lagos,Quellón,28460.0
Los Lagos,Quemchi,8409.0
Los Lagos,Quinchao,7678.0
Los Lagos,Osorno,166455.0
Los Lagos,Puerto Octay,8865.0
Los Lagos,Purranque,19542.0
Los Lagos,Puyehue,11712.0
Los Lagos,Río Negro,13874.0
Los Lagos,San Juan de la Costa,7776.0
Los Lagos,San Pablo,10883.0
Los Lagos,Chaitén,4025.0
Los Lagos,Futaleufú,3062.0
Los Lagos,Hualaihué,9480.0
Los Lagos,Palena,1903.0
Aysén del General Carlos Ibáñez del Campo,Coyhaique,57823.0
Aysén del General Carlos Ibáñez del Campo,Lago Verde,779.0
Aysén del General Carlos Ibáñez del Campo,Aysén,23170.0
Aysén del General Carlos Ibáñez del Campo,Cisnes,5137.0
Aysén del General Carlos Ibáñez del Campo,Guaitecas,1598.0
Aysén del General Carlos Ibáñez del Campo,Cochrane,3458.0
Aysén del General Carlos Ibáñez del Campo,O'Higgins,647.0
Aysén del General Carlos Ibáñez del Campo,Tortel,505.0
Aysén del General Carlos Ibáñez del Campo,Chile Chico,4905.0
Aysén del General Carlos Ibáñez del Campo,Río Ibáñez,2723.0
Magallanes y de la Antártica Chilena,Punta Arenas,132363.0
Magallanes y de la Antártica Chilena,Laguna Blanca,269.0
Magallanes y de la Antártica Chilena,Río Verde,102.0
Magallanes y de la Antártica Chilena,San Gregorio,241.0
Magallanes y de la Antártica Chilena,Cabo de Hornos,1750.0
Magallanes y de la Antártica Chilena,Antártica,60.0
Magallanes y de la Antártica Chilena,Porvenir,6809.0
Magallanes y de la Antártica Chilena,Primavera,431.0
Magallanes y de la Antártica Chilena,Timaukel,157.0
Magallanes y de la Antártica Chilena,Natales,24152.0
Magallanes y de la Antártica Chilena,Torres del Paine,203.0
,,
,,
,,
