NOMBRE REGIÓN  RESIDENCIA HABITUAL ACTUAL,NOMBRE COMUNA RESIDENCIA HABITUAL ACTUAL,GRUPO DE EDAD,TOTAL POBLACIÓN NACIDA FUERA DEL PAÍS
TARAPACÁ,CAMIÑA,80 a 84,1
TARAPACÁ,CAMIÑA,85 a 89,2
TARAPACÁ,CAMIÑA,90 a 94,1
TARAPACÁ,CAMIÑA,95 a 99,0
TARAPACÁ,CAMIÑA,100 o más,0
TARAPACÁ,COLCHANE,Total Comuna,152
TARAPACÁ,COLCHANE,0 a 4,8
TARAPACÁ,COLCHANE,5 a 9,5
TARAPACÁ,COLCHANE,10 a 14,3
TARAPACÁ,COLCHANE,15 a 19,17
TARAPACÁ,COLCHANE,20 a 24,17
TARAPACÁ,COLCHANE,25 a 29,19
TARAPACÁ,COLCHANE,30 a 34,17
TARAPACÁ,COLCHANE,35 a 39,23
TARAPACÁ,COLCHANE,40 a 44,11
TARAPACÁ,COLCHANE,45 a 49,9
TARAPACÁ,COLCHANE,50 a 54,11
TARAPACÁ,COLCHANE,55 a 59,2
TARAPACÁ,COLCHANE,60 a 64,6
TARAPACÁ,COLCHANE,65 a 69,2
TARAPACÁ,COLCHANE,70 a 74,1
TARAPACÁ,COLCHANE,75 a 79,1
TARAPACÁ,COLCHANE,80 a 84,0
TARAPACÁ,COLCHANE,85 a 89,0
TARAPACÁ,COLCHANE,90 a 94,0
TARAPACÁ,COLCHANE,95 a 99,0
TARAPACÁ,COLCHANE,100 o más,0
TARAPACÁ,HUARA,Total Comuna,392
TARAPACÁ,HUARA,0 a 4,10
TARAPACÁ,HUARA,5 a 9,8
TARAPACÁ,HUARA,10 a 14,12
TARAPACÁ,HUARA,15 a 19,35
TARAPACÁ,HUARA,20 a 24,55
TARAPACÁ,HUARA,25 a 29,67
TARAPACÁ,HUARA,30 a 34,58
TARAPACÁ,HUARA,35 a 39,60
TARAPACÁ,HUARA,40 a 44,27
TARAPACÁ,HUARA,45 a 49,18
TARAPACÁ,HUARA,50 a 54,14
TARAPACÁ,HUARA,55 a 59,6
TARAPACÁ,HUARA,60 a 64,7
TARAPACÁ,HUARA,65 a 69,2
TARAPACÁ,HUARA,70 a 74,6
TARAPACÁ,HUARA,75 a 79,4
TARAPACÁ,HUARA,80 a 84,0
TARAPACÁ,HUARA,85 a 89,3
TARAPACÁ,HUARA,90 a 94,0
TARAPACÁ,HUARA,95 a 99,0
TARAPACÁ,HUARA,100 o más,0
TARAPACÁ,PICA,Total Comuna,839
TARAPACÁ,PICA,0 a 4,35
TARAPACÁ,PICA,5 a 9,59
TARAPACÁ,PICA,10 a 14,36
TARAPACÁ,PICA,15 a 19,40
TARAPACÁ,PICA,20 a 24,96
TARAPACÁ,PICA,25 a 29,128
TARAPACÁ,PICA,30 a 34,101
TARAPACÁ,PICA,35 a 39,79
TARAPACÁ,PICA,40 a 44,66
TARAPACÁ,PICA,45 a 49,51
TARAPACÁ,PICA,50 a 54,31
TARAPACÁ,PICA,55 a 59,26
TARAPACÁ,PICA,60 a 64,20
TARAPACÁ,PICA,65 a 69,20
TARAPACÁ,PICA,70 a 74,20
TARAPACÁ,PICA,75 a 79,8
TARAPACÁ,PICA,80 a 84,11
TARAPACÁ,PICA,85 a 89,8
TARAPACÁ,PICA,90 a 94,3
TARAPACÁ,PICA,95 a 99,0
TARAPACÁ,PICA,100 o más,1
ANTOFAGASTA,ANTOFAGASTA,Total Comuna,37757
ANTOFAGASTA,ANTOFAGASTA,0 a 4,969
ANTOFAGASTA,ANTOFAGASTA,5 a 9,1760
ANTOFAGASTA,ANTOFAGASTA,10 a 14,2045
ANTOFAGASTA,ANTOFAGASTA,15 a 19,2353
ANTOFAGASTA,ANTOFAGASTA,20 a 24,4895
ANTOFAGASTA,ANTOFAGASTA,25 a 29,5870
ANTOFAGASTA,ANTOFAGASTA,30 a 34,5413
ANTOFAGASTA,ANTOFAGASTA,35 a 39,4691
ANTOFAGASTA,ANTOFAGASTA,40 a 44,3468
ANTOFAGASTA,ANTOFAGASTA,45 a 49,2550
ANTOFAGASTA,ANTOFAGASTA,50 a 54,1678
ANTOFAGASTA,ANTOFAGASTA,55 a 59,998
ANTOFAGASTA,ANTOFAGASTA,60 a 64,496
ANTOFAGASTA,ANTOFAGASTA,65 a 69,251
ANTOFAGASTA,ANTOFAGASTA,70 a 74,108
ANTOFAGASTA,ANTOFAGASTA,75 a 79,73
ANTOFAGASTA,ANTOFAGASTA,80 a 84,63
ANTOFAGASTA,ANTOFAGASTA,85 a 89,41
ANTOFAGASTA,ANTOFAGASTA,90 a 94,20
ANTOFAGASTA,ANTOFAGASTA,95 a 99,9
ANTOFAGASTA,ANTOFAGASTA,100 o más,6
ANTOFAGASTA,MEJILLONES,Total Comuna,1855
ANTOFAGASTA,MEJILLONES,0 a 4,65
ANTOFAGASTA,MEJILLONES,5 a 9,135
ANTOFAGASTA,MEJILLONES,10 a 14,138
ANTOFAGASTA,MEJILLONES,15 a 19,131
ANTOFAGASTA,MEJILLONES,20 a 24,281
ANTOFAGASTA,MEJILLONES,25 a 29,303
ANTOFAGASTA,MEJILLONES,30 a 34,237
ANTOFAGASTA,MEJILLONES,35 a 39,202
ANTOFAGASTA,MEJILLONES,40 a 44,139
ANTOFAGASTA,MEJILLONES,45 a 49,101
ANTOFAGASTA,MEJILLONES,50 a 54,50
ANTOFAGASTA,MEJILLONES,55 a 59,30
ANTOFAGASTA,MEJILLONES,60 a 64,22
ANTOFAGASTA,MEJILLONES,65 a 69,11
ANTOFAGASTA,MEJILLONES,70 a 74,5
ANTOFAGASTA,MEJILLONES,75 a 79,2
ANTOFAGASTA,MEJILLONES,80 a 84,2
ANTOFAGASTA,MEJILLONES,85 a 89,1
ANTOFAGASTA,MEJILLONES,90 a 94,0
ANTOFAGASTA,MEJILLONES,95 a 99,0
ANTOFAGASTA,MEJILLONES,100 o más,0
ANTOFAGASTA,SIERRA GORDA,Total Comuna,242
ANTOFAGASTA,SIERRA GORDA,0 a 4,17
ANTOFAGASTA,SIERRA GORDA,5 a 9,22
ANTOFAGASTA,SIERRA GORDA,10 a 14,14
ANTOFAGASTA,SIERRA GORDA,15 a 19,15
ANTOFAGASTA,SIERRA GORDA,20 a 24,30
ANTOFAGASTA,SIERRA GORDA,25 a 29,34
ANTOFAGASTA,SIERRA GORDA,30 a 34,30
ANTOFAGASTA,SIERRA GORDA,35 a 39,28
ANTOFAGASTA,SIERRA GORDA,40 a 44,21
ANTOFAGASTA,SIERRA GORDA,45 a 49,16
ANTOFAGASTA,SIERRA GORDA,50 a 54,5
ANTOFAGASTA,SIERRA GORDA,55 a 59,8
ANTOFAGASTA,SIERRA GORDA,60 a 64,1
ANTOFAGASTA,SIERRA GORDA,65 a 69,0
ANTOFAGASTA,SIERRA GORDA,70 a 74,0
ANTOFAGASTA,SIERRA GORDA,75 a 79,1
ANTOFAGASTA,SIERRA GORDA,80 a 84,0
ANTOFAGASTA,SIERRA GORDA,85 a 89,0
ANTOFAGASTA,SIERRA GORDA,90 a 94,0
ANTOFAGASTA,SIERRA GORDA,95 a 99,0
ANTOFAGASTA,SIERRA GORDA,100 o más,0
ANTOFAGASTA,TALTAL,Total Comuna,397
ANTOFAGASTA,TALTAL,0 a 4,11
ANTOFAGASTA,TALTAL,5 a 9,22
ANTOFAGASTA,TALTAL,10 a 14,21
ANTOFAGASTA,TALTAL,15 a 19,19
ANTOFAGASTA,TALTAL,20 a 24,49
ANTOFAGASTA,TALTAL,25 a 29,57
ANTOFAGASTA,TALTAL,30 a 34,46
ANTOFAGASTA,TALTAL,35 a 39,60
ANTOFAGASTA,TALTAL,40 a 44,33
ANTOFAGASTA,TALTAL,45 a 49,33
ANTOFAGASTA,TALTAL,50 a 54,17
ANTOFAGASTA,TALTAL,55 a 59,15
ANTOFAGASTA,TALTAL,60 a 64,7
ANTOFAGASTA,TALTAL,65 a 69,2
ANTOFAGASTA,TALTAL,70 a 74,1
ANTOFAGASTA,TALTAL,75 a 79,1
