y1,y11,y20amonto,sexo,region,esc
,280000.0,,1,14,17.0
,30000.0,,2,14,13.0
,0.0,,1,14,8.0
600000.0,,,2,14,17.0
,0.0,,1,14,11.0
,,,2,14,6.0
,,,1,14,12.0
,0.0,,1,14,9.0
,,,2,14,12.0
,,11091.0,2,14,
,,11091.0,2,14,
350000.0,,,1,14,12.0
,0.0,,2,14,12.0
,0.0,,1,14,12.0
,0.0,,1,14,11.0
,0.0,,2,14,8.0
,,,1,14,8.0
,,11091.0,1,14,
700000.0,,,2,14,15.0
,,,2,14,
,,,1,14,
,,,1,14,
,,,1,14,3.0
,,,1,14,11.0
,0.0,,2,14,8.0
350000.0,,,1,14,2.0
,,,2,14,
,,,1,14,
,,,2,14,
,,,2,14,11.0
,,,1,14,
300000.0,,,1,14,11.0
500000.0,,,2,14,8.0
275000.0,,,2,14,15.0
,0.0,,1,14,12.0
,,,2,14,12.0
,0.0,,1,14,5.0
,,11091.0,1,14,
,,11091.0,2,14,
275000.0,,,1,14,8.0
,0.0,,2,14,6.0
,0.0,11091.0,2,14,11.0
,,11091.0,2,14,
,,11091.0,2,14,
,,,2,14,7.0
,,,1,14,2.0
275000.0,,,2,14,11.0
,0.0,11091.0,1,14,10.0
275000.0,,,2,14,13.0
,,,2,14,
275000.0,,,1,14,10.0
,0.0,,2,14,12.0
,0.0,11091.0,1,14,9.0
,,11091.0,1,14,
,0.0,,2,14,4.0
,,,1,14,8.0
,0.0,,1,14,0.0
,,,1,14,
,,,2,14,
270000.0,,,2,14,8.0
,99.0,,1,14,9.0
,99.0,,1,14,4.0
370000.0,,,1,14,9.0
120000.0,,,2,14,6.0
,,11091.0,1,14,
270000.0,,,1,14,8.0
,0.0,,2,14,8.0
,,11091.0,2,14,
,,11091.0,2,14,
250000.0,,,1,14,5.0
,0.0,,2,14,9.0
,,,1,14,
,,,1,14,
,,,2,14,
270000.0,,,1,14,8.0
,99.0,,2,14,6.0
,99.0,,2,14,12.0
400000.0,,,1,14,11.0
,0.0,,2,14,8.0
,0.0,,2,14,10.0
,,,1,14,2.0
,0.0,,2,14,8.0
270000.0,,,2,14,12.0
,,,2,14,7.0
,,,1,14,12.0
,,,2,14,
275000.0,,,1,14,12.0
200000.0,,,2,14,12.0
,,,2,14,
,,,2,14,
500000.0,,,1,14,12.0
,0.0,,2,14,12.0
,,11091.0,1,14,
,,11091.0,2,14,
230000.0,,,1,14,20.0
,0.0,,2,14,10.0
230000.0,,,1,14,12.0
,0.0,,1,14,0.0
270000.0,,,1,14,3.0
,0.0,,2,14,5.0
,0.0,,2,14,10.0
,,11091.0,2,14,
350000.0,,,1,14,8.0
150000.0,,,2,14,8.0
,0.0,,1,14,12.0
,,11091.0,1,14,
360000.0,,,1,14,0.0
,0.0,,2,14,2.0
500000.0,,,1,14,12.0
,,,1,14,
400000.0,,,2,14,8.0
,0.0,,2,14,4.0
270000.0,,,1,14,4.0
,0.0,,2,14,8.0
270000.0,,,1,14,10.0
,,11091.0,2,14,
54000.0,,,2,14,8.0
,0.0,,1,14,12.0
,,,2,14,
,,,1,14,
,,,1,14,
,0.0,,2,14,0.0
,0.0,,2,14,0.0
,0.0,,2,14,4.0
270000.0,,,1,14,9.0
,,,2,14,10.0
,,,1,14,
,,,1,14,
,,,2,14,6.0
,,,1,14,
,,,1,14,
,,,1,14,
,0.0,,1,14,12.0
,0.0,,2,14,5.0
,0.0,,2,14,14.0
,0.0,,1,14,12.0
,,11091.0,1,14,
,,11091.0,2,14,
,,11091.0,2,14,
250000.0,,,1,14,11.0
250000.0,,,2,14,7.0
250000.0,,,2,14,12.0
,0.0,,1,14,12.0
,0.0,,2,14,0.0
500000.0,,,2,14,12.0
,0.0,,1,14,6.0
250000.0,,,2,14,7.0
180000.0,,,1,14,10.0
250000.0,,,2,14,12.0
,,,1,14,9.0
,0.0,,1,14,0.0
,,,1,14,11.0
,0.0,,2,14,12.0
,,11091.0,2,14,
,180000.0,,2,14,12.0
,,,1,14,
,,,2,14,
,,,1,14,
,,,1,14,16.0
400000.0,,,1,14,14.0
600000.0,,,1,14,12.0
,0.0,,2,14,11.0
,,,1,14,
,,,1,14,
1800000.0,,,1,14,17.0
,,,2,14,12.0
,0.0,,1,14,1.0
,,,1,14,
,0.0,,2,14,12.0
,257000.0,,1,14,12.0
,0.0,,2,14,11.0
,,,1,14,
,,,2,14,
600000.0,,,1,14,17.0
70000.0,,,2,14,12.0
,,,1,14,
,,,1,14,
,,,1,14,
800000.0,,,1,14,17.0
,0.0,,2,14,15.0
800000.0,,,1,14,17.0
300000.0,,,2,14,14.0
,0.0,,2,14,12.0
,,,1,14,
,,,1,14,14.0
,,,2,14,16.0
,0.0,,2,14,15.0
,,,2,14,
150000.0,,,1,14,14.0
1500000.0,,,2,14,17.0
,0.0,,2,14,17.0
,,,2,14,12.0
1200000.0,,,1,14,17.0
,0.0,,2,14,17.0
,,,2,14,
,,,2,14,
,,,2,14,
50000.0,,,2,14,12.0
500000.0,,,2,14,18.0
,,,2,14,
,,,2,14,12.0
,0.0,11091.0,1,14,10.0
,,,2,14,12.0
,,,1,14,13.0
1200000.0,,,1,14,17.0
500000.0,,,2,14,17.0
,,,1,14,
,,,1,14,
,,,1,14,16.0
,0.0,,2,14,16.0
,,,1,14,
,,,2,14,
530000.0,,,1,14,17.0
714000.0,,,2,14,17.0
850000.0,,,1,14,12.0
200000.0,,,2,14,15.0
,,,2,14,
,,,1,14,
,,,1,14,
1200000.0,,,1,14,17.0
500000.0,,,2,14,15.0
,0.0,,2,14,14.0
,0.0,,1,14,11.0
,,,1,14,
,,,2,14,
,,,1,14,
270000.0,,,1,14,10.0
406000.0,,,2,14,13.0
400000.0,,,1,14,14.0
,0.0,,1,14,3.0
,0.0,,2,14,10.0
,,,1,14,8.0
,,,2,14,12.0
1200000.0,,,2,14,18.0
500000.0,,,1,14,15.0
,,,1,14,
270000.0,,,2,14,5.0
,,,1,14,17.0
270000.0,,,2,14,15.0
270000.0,,,1,14,8.0
270000.0,,,1,14,8.0
270000.0,,,1,14,12.0
,0.0,,1,14,5.0
300000.0,,,1,14,8.0
,0.0,,2,14,8.0
,0.0,,2,14,10.0
310000.0,,,1,14,12.0
580000.0,,,2,14,12.0
,0.0,,1,14,12.0
,0.0,,1,14,3.0
,0.0,,2,14,4.0
,,,2,14,7.0
1000000.0,,,1,14,17.0
400000.0,,,1,14,12.0
100000.0,,,2,14,14.0
,,,1,14,
400000.0,,,2,14,15.0
,0.0,,1,14,16.0
,0.0,,1,14,12.0
,,,1,14,
,0.0,,2,14,9.0
600000.0,,,1,14,12.0
270000.0,,,1,14,11.0
,,,1,14,
,0.0,,2,14,6.0
99.0,,,1,14,17.0
,0.0,,2,14,5.0
,0.0,,1,14,2.0
400000.0,,,1,14,12.0
300000.0,,,1,14,11.0
600000.0,,,1,14,15.0
2000000.0,,,2,14,17.0
2000000.0,,,1,14,12.0
600000.0,,,2,14,12.0
,,,1,14,
1000000.0,,,2,14,17.0
,,,1,14,18.0
2500000.0,,,1,14,17.0
1600000.0,,,2,14,17.0
,,,2,14,
,,,1,14,14.0
,0.0,,2,14,17.0
1200000.0,,,2,14,16.0
30000.0,,,2,14,16.0
,0.0,,2,14,16.0
150000.0,,,1,14,13.0
200000.0,,,2,14,8.0
,0.0,,1,14,12.0
,,,2,14,12.0
,0.0,,1,14,8.0
270000.0,,,2,14,12.0
,0.0,,1,14,9.0
,,,2,14,
,,,2,14,
,0.0,,2,14,6.0
,0.0,,1,14,5.0
,,,1,14,12.0
,0.0,,2,14,8.0
370000.0,,,2,14,14.0
,0.0,,2,14,12.0
,,,1,14,
600000.0,,,1,14,10.0
630000.0,,,1,14,10.0
300000.0,,,2,14,14.0
,0.0,,2,14,13.0
,,11091.0,1,14,
,,11091.0,1,14,
270000.0,,,1,14,15.0
,140000.0,,2,14,14.0
,0.0,,2,14,11.0
,,,2,14,
,,,1,14,
270000.0,,,2,14,12.0
,,,1,14,12.0
240000.0,,,2,14,2.0
1100000.0,,,1,14,15.0
,0.0,,2,14,12.0
,0.0,,1,14,10.0
,,,2,14,
300000.0,,,2,14,11.0
200000.0,,,1,14,12.0
1000000.0,,,1,14,14.0
1100000.0,,,1,14,17.0
,,,2,14,16.0
,,,2,14,
,,,1,14,
,,,2,14,12.0
,,11091.0,1,14,
,,,2,14,12.0
,0.0,,2,14,14.0
680000.0,,,2,14,17.0
,0.0,,1,14,13.0
274000.0,,,2,14,12.0
35000.0,,,1,14,12.0
,0.0,,2,14,10.0
,0.0,,1,14,6.0
,0.0,,1,14,6.0
,0.0,,2,14,10.0
120000.0,,,2,14,10.0
,,11091.0,2,14,
600000.0,,,1,14,10.0
120000.0,,,2,14,15.0
,,,1,14,
,0.0,,1,14,4.0
100000.0,,,2,14,2.0
,,,1,14,12.0
,0.0,,2,14,10.0
300000.0,,,1,14,7.0
,0.0,,2,14,3.0
,0.0,,2,14,17.0
,0.0,,1,14,12.0
,,11091.0,1,14,
450000.0,,,1,14,10.0
,0.0,,2,14,9.0
,,,2,14,
500000.0,,,1,14,8.0
270000.0,,,2,14,12.0
,,,1,14,
700000.0,,,1,14,12.0
,0.0,,2,14,17.0
900000.0,,,2,14,17.0
350000.0,,,1,14,16.0
,,,1,14,12.0
,,,2,14,
,,,2,14,
,100000.0,,1,14,8.0
,200000.0,,2,14,8.0
,0.0,,1,14,11.0
,400000.0,,1,14,8.0
,,,1,14,8.0
300000.0,,,1,14,10.0
,0.0,,2,14,12.0
700000.0,,,1,14,12.0
,0.0,,2,14,12.0
390000.0,,,1,14,12.0
450000.0,,,2,14,12.0
,,,2,14,
240000.0,,,2,14,8.0
,0.0,,2,14,16.0
,,11091.0,2,14,
180000.0,,,2,14,16.0
,,,1,14,14.0
300000.0,,,2,14,12.0
,0.0,,1,14,12.0
,,,1,14,
,,,2,14,4.0
400000.0,,,1,14,12.0
300000.0,,,1,14,12.0
,,,1,14,
275000.0,,,2,14,9.0
200000.0,,,2,14,8.0
120000.0,,,2,14,4.0
,0.0,,2,14,11.0
,0.0,,1,14,9.0
80000.0,,,2,14,10.0
,0.0,11091.0,2,14,6.0
130000.0,,,2,14,12.0
300000.0,,,1,14,9.0
,0.0,,2,14,10.0
140000.0,,,2,14,12.0
80000.0,,,1,14,10.0
,,,2,14,
0.0,,,2,14,0.0
,0.0,,2,14,10.0
,0.0,,2,14,10.0
120000.0,,,1,14,7.0
,,,1,14,10.0
,,,1,14,
,200000.0,,1,14,11.0
,,,1,14,8.0
,0.0,,2,14,12.0
,,11091.0,2,14,
400000.0,,,1,14,11.0
275000.0,,,2,14,12.0
,,,2,14,14.0
,0.0,,2,14,8.0
,0.0,,2,14,12.0
,0.0,11091.0,1,14,12.0
,,11091.0,1,14,
,,11091.0,2,14,
,0.0,,1,14,8.0
,0.0,,1,14,12.0
350000.0,,,1,14,11.0
,0.0,,2,14,12.0
275000.0,,,2,14,12.0
,0.0,,1,14,11.0
,,,1,14,
275000.0,,,1,14,12.0
,0.0,,2,14,3.0
,,,1,14,12.0
,,,1,14,8.0
,0.0,,2,14,6.0
200000.0,,,2,14,12.0
,,11091.0,2,14,
,0.0,,1,14,11.0
,0.0,,1,14,4.0
325000.0,,,1,14,12.0
300000.0,,,2,14,12.0
270000.0,,,1,14,12.0
270000.0,,,2,14,12.0
,,,2,14,
,,,2,14,
,0.0,,2,14,5.0
,,,1,14,15.0
,0.0,,2,14,12.0
,,,2,14,
,,,2,14,
,,,1,14,10.0
150000.0,,,1,14,6.0
256000.0,,,2,14,8.0
