folio,año,region,expr,tam_hogar,n_personas,edad_prom,edad_max,prop_menores_15,prop_may_65,hay_menores_15,hay_adulto_mayor,edu_nivel_prom,edu_nivel_min,prop_alfabetos,prop_asiste_edu,prop_ocupados,prop_con_contrato,ingreso_sueldos,ingreso_indep,atendido_salud,tipo_vivienda,material_muros,estado_muros,fuente_agua,sist_excretas,tiene_electricid,n_dormitorios,dormitorios_hogar,d_asistencia_esc,d_rezago_esc,d_escolaridad,d_atencion_salud,d_ocupacion,d_seg_social,d_jubilaciones,d_hacinamiento,d_estado_viv,d_serv_basicos,d_contaminacion,d_accesibilidad,d_trato_igual,d_seguridad,pobreza_multi,cod_comuna,comuna,sexo_jefe,edad_jefe,ecivil_jefe,edu_nivel_jefe,edu_curso_jefe,alfabeto_jefe,ocupado_jefe,contrato_jefe,ingreso_jefe,hacinamiento_idx,ingreso_total_hogar,ingreso_percapita
277880802.0,2024,14,38,1,1,69.0,69,0.0,1.0,0,1,8.0,8,1.0,0.0,0.0,0.0,0,0,0.0,1,2,2,1,1,1,2.0,1.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,1.0,0,0.0,1,0,0.0,14101,Valdivia,1,69,6,8,2.0,1,2,0.0,0.0,1.0,430000,430000.0
278610101.0,2024,14,38,4,4,54.0,71,0.0,0.5,0,1,11.25,9,1.0,0.25,0.5,0.0,1100000,0,0.0,2,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,68,1,13,3.0,1,1,3.0,700000.0,1.3333333333333333,1914000,478500.0
278610201.0,2024,14,31,2,2,80.0,81,0.0,1.0,0,1,7.0,6,1.0,0.0,0.0,0.0,20000,0,0.0,2,3,3,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,79,1,8,4.0,1,2,3.0,20000.0,0.6666666666666666,460000,230000.0
278610501.0,2024,14,34,2,2,70.5,72,0.0,1.0,0,1,10.0,10,1.0,0.0,0.0,0.0,0,0,0.0,1,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,72,1,10,4.0,1,2,0.0,0.0,0.6666666666666666,428592,214296.0
278610601.0,2024,14,41,3,3,26.0,33,0.3333333333333333,0.0,1,0,10.0,7,1.0,0.3333333333333333,1.0,0.5,1180000,0,0.0,2,3,1,1,1,1,4.0,4.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,1,0,0.0,14101,Valdivia,2,33,2,12,3.0,1,1,1.0,700000.0,0.75,1180000,393333.3333333333
278610701.0,2024,14,41,2,2,32.5,47,0.0,0.0,0,0,12.0,12,1.0,0.5,0.5,0.0,0,120000,0.0,1,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,47,6,12,3.0,1,1,0.0,0.0,0.6666666666666666,120000,60000.0
278610801.0,2024,14,76,2,2,18.5,33,0.5,0.0,1,0,6.5,1,1.0,0.0,1.0,1.0,750000,0,0.0,1,3,1,1,1,1,3.0,3.0,1,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,33,8,12,3.0,1,1,1.0,750000.0,0.6666666666666666,750000,375000.0
279200101.0,2024,14,28,2,2,73.0,77,0.0,1.0,0,1,6.0,6,1.0,0.0,0.0,0.0,0,0,0.0,2,3,2,1,1,1,2.0,2.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,2,69,1,6,6.0,1,2,0.0,0.0,1.0,455483,227741.5
279200201.0,2024,14,40,3,3,22.666666666666668,31,0.3333333333333333,0.0,1,0,10.666666666666666,7,1.0,0.6666666666666666,1.0,1.0,900000,0,0.0,2,3,1,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,2,31,2,13,5.0,1,1,1.0,300000.0,1.5,900000,300000.0
279200301.0,2024,14,27,2,2,74.0,81,0.0,1.0,0,1,6.5,6,1.0,0.0,0.0,0.0,0,0,0.0,2,3,2,1,1,1,2.0,2.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,2,67,1,7,8.0,1,2,0.0,0.0,1.0,454000,227000.0
