folio,año,region,expr,tam_hogar,n_personas,edad_prom,edad_max,prop_menores_15,prop_may_65,hay_menores_15,hay_adulto_mayor,edu_nivel_prom,edu_nivel_min,prop_alfabetos,prop_asiste_edu,prop_ocupados,prop_con_contrato,ingreso_sueldos,ingreso_indep,atendido_salud,tipo_vivienda,material_muros,estado_muros,fuente_agua,sist_excretas,tiene_electricid,n_dormitorios,dormitorios_hogar,d_asistencia_esc,d_rezago_esc,d_escolaridad,d_atencion_salud,d_ocupacion,d_seg_social,d_jubilaciones,d_hacinamiento,d_estado_viv,d_serv_basicos,d_contaminacion,d_accesibilidad,d_trato_igual,d_seguridad,pobreza_multi,cod_comuna,comuna,sexo_jefe,edad_jefe,ecivil_jefe,edu_nivel_jefe,edu_curso_jefe,alfabeto_jefe,ocupado_jefe,contrato_jefe,ingreso_jefe,hacinamiento_idx,ingreso_total_hogar,ingreso_percapita,idx_educacion,idx_vivienda,idx_composicion,idx_ingresos,cluster
1410310130401.0,2017,14,74,3,3,64.0,88,0.0,0.6666666666666666,0,1,7.0,6,1.0,0.0,0.6666666666666666,1.0,760000,0,0.0,1,3,1,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,70,1,6,6.0,1,1,1.0,380000.0,1.5,760000,253333.3333333333,0.7538786741111538,0.3281912765106042,0.35185185185185186,0.6492326777035954,2.0
1410330010101.0,2017,14,32,4,4,29.0,50,0.25,0.0,1,0,9.5,4,1.0,0.5,0.3333333333333333,1.0,1000000,0,0.0,2,1,1,1,1,1,4.0,4.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,50,1,13,2.0,1,1,1.0,1000000.0,1.0,1000000,250000.0,0.6716122769862661,0.26442577030812325,0.3298611111111111,0.6736163170287113,2.0
1410330010301.0,2017,14,24,2,2,76.5,77,0.0,1.0,0,1,7.0,7,1.0,0.0,0.5,0.0,0,300000,0.0,1,3,1,4,2,1,3.0,3.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,77,1,7,6.0,1,1,0.0,0.0,0.6666666666666666,300000,150000.0,0.7417613271723784,0.39549819927971186,0.3703703703703704,0.8170091293134095,4.0
1410330010401.0,2017,14,24,2,2,89.0,89,0.0,1.0,0,1,6.0,6,1.0,0.0,0.0,0.0,0,0,1.0,1,3,1,1,3,1,5.0,5.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,1.0,0,1.0,0,0,0.0,14103,Lanco,1,89,1,6,4.0,1,2,0.0,0.0,0.4,0,0.0,0.7570233281992041,0.3206282513005202,0.3703703703703704,0.886596104837885,4.0
1410330010501.0,2017,14,40,4,4,28.25,44,0.25,0.0,1,0,9.25,7,1.0,0.5,0.3333333333333333,1.0,150000,0,1.0,1,3,1,4,3,1,3.0,3.0,0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,1.0,0,0.0,1,0,1.0,14103,Lanco,1,44,1,7,8.0,1,1,1.0,150000.0,1.3333333333333333,150000,37500.0,0.6513525221409319,0.4279111644657863,0.3298611111111111,0.7118871091751001,2.0
1410330010601.0,2017,14,36,4,4,32.75,47,0.0,0.0,0,0,10.25,9,1.0,0.5,0.25,1.0,99,0,0.0,1,3,1,4,2,1,3.0,3.0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,47,1,9,4.0,1,2,0.0,0.0,1.3333333333333333,99,24.75,0.6239731741753305,0.40750300120048016,0.1111111111111111,0.730343709885962,1.0
1410330010701.0,2017,14,39,4,4,28.25,44,0.25,0.0,1,0,9.25,7,1.0,0.5,0.3333333333333333,0.0,0,200000,1.0,1,3,2,4,2,1,2.0,2.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,44,1,7,8.0,1,1,0.0,0.0,2.0,200000,50000.0,0.6513525221409319,0.5004601840736295,0.3298611111111111,0.8413411514579316,4.0
1410330010801.0,2017,14,21,1,1,77.0,77,0.0,1.0,0,1,1.0,1,1.0,0.0,0.0,0.0,0,0,1.0,1,3,1,4,4,1,2.0,2.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,1.0,0,1.0,0,0,0.0,14103,Lanco,2,77,7,1,4.0,1,2,0.0,0.0,0.5,0,0.0,0.8333333333333334,0.4428371348539416,0.3333333333333333,0.886596104837885,4.0
1410330010901.0,2017,14,25,2,2,85.5,89,0.0,1.0,0,1,6.0,6,1.0,0.0,0.0,0.0,0,0,0.0,1,3,1,1,1,1,4.0,4.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,82,1,6,3.0,1,2,0.0,0.0,0.5,0,0.0,0.7570233281992041,0.29113645458183274,0.3703703703703704,0.886596104837885,4.0
1410330011001.0,2017,14,46,2,2,58.0,68,0.0,0.5,0,1,8.0,7,1.0,0.0,0.5,0.0,0,300000,0.5,1,3,1,1,2,1,3.0,3.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,68,7,7,8.0,1,1,0.0,0.0,0.6666666666666666,300000,150000.0,0.7386166730843281,0.32406962785114046,0.28703703703703703,0.8170091293134095,4.0
1410330011101.0,2017,14,27,7,7,34.57142857142857,74,0.2857142857142857,0.1428571428571428,1,1,7.0,3,1.0,0.2857142857142857,0.4,1.0,555000,0,0.5714285714285714,1,3,1,1,2,1,4.0,4.0,0,0.0,1.0,0.0,1,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,52,1,7,6.0,1,2,0.0,0.0,1.75,555000,79285.71428571429,0.7358089462199975,0.33405362144857936,0.6388888888888888,0.6995213202474755,2.0
1410330011201.0,2017,14,32,3,3,38.0,51,0.3333333333333333,0.0,1,0,8.333333333333334,7,1.0,0.3333333333333333,0.5,0.0,0,300000,1.0,1,3,1,1,2,1,3.0,3.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,51,1,9,2.0,1,1,0.0,0.0,1.0,300000,100000.0,0.6786115389552047,0.3300720288115246,0.3101851851851852,0.8181454929497732,4.0
1410330011301.0,2017,14,32,5,5,26.2,48,0.4,0.0,1,0,7.6,4,1.0,0.4,0.6666666666666666,1.0,700000,0,0.0,1,3,1,1,2,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,48,1,9,1.0,1,1,1.0,400000.0,1.6666666666666667,700000,140000.0,0.7010565075086639,0.3420768307322929,0.39814814814814814,0.6525023516467847,2.0
1410330011401.0,2017,14,40,3,3,25.0,36,0.3333333333333333,0.0,1,0,9.0,7,1.0,0.3333333333333333,0.0,0.0,450000,0,0.6666666666666666,1,3,2,1,2,1,1.0,1.0,0,0.0,0.0,0.0,1,0.0,0,1.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,33,2,11,4.0,1,2,3.0,450000.0,3.0,450000,150000.0,0.6731137423522869,0.45656262505002004,0.3101851851851852,0.8616168451222572,4.0
1410330011701.0,2017,14,32,5,5,28.2,53,0.2,0.0,1,0,7.6,1,1.0,0.2,0.5,1.0,540000,0,0.6,1,3,2,5,3,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0,1.0,0,0,1.0,14103,Lanco,1,53,1,7,8.0,1,1,1.0,270000.0,2.5,540000,108000.0,0.7690412013862149,0.5536814725890357,0.35648148148148145,0.6797327897806229,2.0
1410330011801.0,2017,14,38,3,3,40.0,49,0.0,0.0,0,0,10.333333333333334,7,1.0,0.0,0.6666666666666666,1.0,650000,0,0.0,1,3,2,4,2,1,3.0,3.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,49,2,9,4.0,1,1,1.0,330000.0,1.0,650000,216666.66666666663,0.7278777863346596,0.47292917166866744,0.07407407407407407,0.6531437201183494,3.0
