id,tipo,modalidad,comuna,precio,m2_utiles,ubicacion,dormitorios_estimados,personas_hogar,indice_hacinamiento,f_A,clasificacion,precio_m2
222,casa,venta,Valdivia,226000000.0,137.0,"Bosque Sur, Centro De Valdivia, Valdivia",6,2.9,0.48,1,Sin hacinamiento,1649635.0364963503
223,casa,venta,Valdivia,80000000.0,42.0,"Las Minas, Valdivia",2,2.9,1.45,1,Sin hacinamiento,1904761.9047619049
224,casa,venta,Valdivia,150000000.0,198.0,"Costanera Heroes Navales, S/n, Niebla, Valdivia",9,2.9,0.32,1,Sin hacinamiento,757575.7575757576
225,casa,venta,Valdivia,290000000.0,141.0,"Angel Muñoz, 900 - 1200, Sur De Valdivia, Valdivia",7,2.9,0.41,1,Sin hacinamiento,2056737.5886524823
226,casa,venta,Valdivia,460000000.0,200.0,"Condominio El Bayo, Valdivia, Torobayo, Valdivia",10,2.9,0.29,1,Sin hacinamiento,2300000.0
227,casa,venta,Valdivia,310000000.0,117.0,"Janequeo, 380, Centro De Valdivia, Valdivia",5,2.9,0.58,1,Sin hacinamiento,2649572.6495726495
228,casa,venta,Valdivia,260000000.0,100.0,"Veintidós De Mayo, 1873, Campo Militar De Valdivia, Valdivia",5,2.9,0.58,1,Sin hacinamiento,2600000.0
229,casa,venta,Valdivia,290000000.0,148.0,"Avenida Simpson, 979, Sur De Valdivia, Valdivia",7,2.9,0.41,1,Sin hacinamiento,1959459.4594594594
230,casa,venta,Valdivia,198000000.0,75.0,"Isla Del Rey, 2184, Sur De Valdivia, Valdivia",3,2.9,0.97,1,Sin hacinamiento,2640000.0
231,casa,venta,Valdivia,480000000.0,411.0,"Altos De Quitacalzón, Valdivia",20,2.9,0.14,1,Sin hacinamiento,1167883.211678832
232,casa,venta,Valdivia,150000000.0,180.0,"Valle Hondo 1 - 300, Sur De Valdivia, Valdivia",9,2.9,0.32,1,Sin hacinamiento,833333.3333333334
233,casa,venta,Valdivia,190000000.0,174.0,"Avenida Francia, 1720, Sur De Valdivia, Valdivia",8,2.9,0.36,1,Sin hacinamiento,1091954.0229885057
234,casa,venta,Valdivia,350000000.0,300.0,"Federico Hettich 1 - 300, Campo Militar De Valdivia, Valdivia",15,2.9,0.19,1,Sin hacinamiento,1166666.6666666667
235,casa,venta,Valdivia,88000000.0,110.0,"Avenida Argentina 1 - 300, Sur De Valdivia, Valdivia",5,2.9,0.58,1,Sin hacinamiento,800000.0
236,casa,venta,Valdivia,368000000.0,220.0,"Los Robles , 76, Valdivia",11,2.9,0.26,1,Sin hacinamiento,1672727.2727272727
237,casa,venta,Valdivia,292800000.0,275.0,"Camino A Paillaco, S/n, Valdivia",13,2.9,0.22,1,Sin hacinamiento,1064727.2727272727
238,casa,venta,Valdivia,500000000.0,220.0,"Los Aromos , S/n, Valdivia",11,2.9,0.26,1,Sin hacinamiento,2272727.272727273
239,casa,venta,Valdivia,360000000.0,280.0,"Camino Cuesta De Soto, 2, Valdivia",14,2.9,0.21,1,Sin hacinamiento,1285714.2857142857
240,casa,venta,Valdivia,236000000.0,72.0,"T-302, 300, Valdivia",3,2.9,0.97,1,Sin hacinamiento,3277777.777777778
241,casa,venta,Valdivia,756000000.0,249.0,"T-302, 302, Valdivia",12,2.9,0.24,1,Sin hacinamiento,3036144.578313253
242,casa,venta,Valdivia,600000000.0,230.0,"El Arboreto, Valdivia, Isla Teja, Valdivia",11,2.9,0.26,1,Sin hacinamiento,2608695.652173913
243,casa,venta,Valdivia,680000000.0,180.0,"San Sebastián 152, Valdivia, Torobayo, Valdivia",9,2.9,0.32,1,Sin hacinamiento,3777777.777777778
244,casa,venta,Valdivia,552000000.0,284.0,Valdivia,14,2.9,0.21,1,Sin hacinamiento,1943661.971830986
245,casa,venta,Valdivia,348000000.0,102.0,"Los Silos, 151, Torobayo, Valdivia",5,2.9,0.58,1,Sin hacinamiento,3411764.705882353
246,casa,venta,Valdivia,452000000.0,190.0,"Condominio El Bayo, 12, Torobayo, Valdivia",9,2.9,0.32,1,Sin hacinamiento,2378947.3684210526
247,casa,venta,Valdivia,359600000.0,140.0,"Isla Teja, Isla Teja, Valdivia",7,2.9,0.41,1,Sin hacinamiento,2568571.4285714286
248,casa,venta,Valdivia,230000000.0,200.0,"René Schneider & Avenida Circunvalación Sur, Valdivia, Chile, Sur De Valdivia, Valdivia",10,2.9,0.29,1,Sin hacinamiento,1150000.0
249,casa,venta,Valdivia,740000000.0,392.0,"Pintor Ricardo Anwandter, 200, Isla Teja, Valdivia",19,2.9,0.15,1,Sin hacinamiento,1887755.1020408163
250,casa,venta,Valdivia,260000000.0,155.0,"Luxemburgo 1880, 5090462 Valdivia, Los Ríos, Chile, Sur De Valdivia, Valdivia",7,2.9,0.41,1,Sin hacinamiento,1677419.3548387096
