id,tipo,modalidad,comuna,precio,m2_utiles,ubicacion
174,casa,venta,Valdivia,1000000000,380 m² útiles,"Angachilla, Valdivia"
175,casa,venta,Valdivia,75.000.000,48 m² útiles,"Raul Carabantes_Raul Prado, Sur De Valdivia, Valdivia"
176,casa,venta,Valdivia,446000000,100 m² útiles,"Italia 2230, Sur De Valdivia, Valdivia"
177,casa,venta,Valdivia,352000000,180 m² útiles,"Vicente Caballero 255, Niebla, Valdivia, Niebla, Valdivia"
178,casa,venta,Valdivia,150.000.000,130 m² útiles,"La Goleta 1742, Valdivia, Las Animas, Valdivia"
179,casa,venta,Valdivia,250.000.000,100 m² útiles,"San Martin, Valdivia"
180,casa,venta,Valdivia,120.000.000,91 m² útiles,"Piedra Blanca, Valdivia, Valdivia"
181,casa,venta,Valdivia,180.000.000,N/D,"Avda Errázuriz, Campo Militar De Valdivia, Valdivia"
182,casa,venta,Valdivia,556000000,217 m² útiles,"Avda Errázuriz 1586, Campo Militar De Valdivia, Valdivia"
183,casa,venta,Valdivia,150.000.000,80 m² útiles,"Collipulli Sur 102, Valdivia, Valdivia"
184,casa,venta,Valdivia,290.000.000,256 m² útiles,"Av. Simpson 1492, Villa Del Rey, Valdivia, Sur De Valdivia, Valdivia"
185,casa,venta,Valdivia,265.000.000,N/D,"Constantino Vasconcelos, Niebla, Valdivia"
186,casa,venta,Valdivia,550.000.000,N/D,"Rio Bio Bio 4075 Valdivia, Sur De Valdivia, Valdivia"
187,casa,venta,Valdivia,1600000000,480 m² útiles,"Los Castaños 1 - 300, Valdivia, Isla Teja, Valdivia"
188,casa,venta,Valdivia,359600000,140 m² útiles,"Teja Market, Isla Teja, Valdivia"
189,casa,venta,Valdivia,165.000.000,161 m² útiles,"Collico, Valdivia"
190,casa,venta,Valdivia,290.000.000,156 m² útiles,"Esquina Estocolmo V Europa, Sur De Valdivia, Valdivia"
191,casa,venta,Valdivia,244000000,220 m² útiles,"Conde De Castellar, Niebla, Valdivia, Niebla, Valdivia"
192,casa,venta,Valdivia,416000000,200 m² útiles,"Pasaje Doctor Jorge Sabat G., Valdivia"
193,casa,venta,Valdivia,396000000,128 m² útiles,"Bueras 309, Sur De Valdivia, Valdivia"
194,casa,venta,Valdivia,63.000.000,69 m² útiles,"Santa Rebeca/ Santa Adela ( Gimnasio San Pedro )., Sur De Valdivia, Valdivia"
195,casa,venta,Valdivia,88.000.000,36 m² útiles,"7W77+H7, Valdivia, Valdivia"
196,casa,venta,Valdivia,480.000.000,500 m² útiles,"T-301 25, Valdivia, Los Ríos, Chile, Valdivia"
197,casa,venta,Valdivia,610000000,342 m² útiles,"T-302 17, Valdivia, Los Ríos, Chile, Valdivia"
198,casa,venta,Valdivia,960000000,345 m² útiles,"Pintora Irma Meisner, Valdivia, Isla Teja, Valdivia"
199,casa,venta,Valdivia,380000000,140 m² útiles,"Condominio Los Arrayanes, Isla Teja, Valdivia"
200,casa,venta,Valdivia,364000000,140 m² útiles,"Pintor Ricardo Anwandter, Isla Teja, Isla Teja, Valdivia"
201,casa,venta,Valdivia,230.000.000,150 m² útiles,"Las Mulatas 360, Valdivia, Sur De Valdivia, Valdivia"
202,casa,venta,Valdivia,388800000,200 m² útiles,"Caleta El Piojo, Niebla, Valdivia"
203,casa,venta,Valdivia,130.000.000,110 m² útiles,"Parque Torreones, Valdivia"
204,casa,venta,Valdivia,80.000.000,N/D,"Pasaje Santa Beatriz, Sur De Valdivia, Valdivia"
205,casa,venta,Valdivia,500.000.000,214 m² útiles,"Errázuriz N°1948 Valdivia, Campo Militar De Valdivia, Valdivia"
206,casa,venta,Valdivia,320.000.000,140 m² útiles,"Los Robles 985, Isla Teja, Valdivia"
207,casa,venta,Valdivia,125.000.000,64 m² útiles,Valdivia
208,casa,venta,Valdivia,290.000.000,219 m² útiles,"Estacionamiento - Av. Simpson 1502, 5090126 Valdivia, Los Ríos, Chile, Campo Militar De Valdivia, Valdivia"
209,casa,venta,Valdivia,175.000.000,180 m² útiles,"Casa Blanca, Valdivia"
210,casa,venta,Valdivia,225.000.000,110 m² útiles,"Gastón Da Bove Olave 611, Valdivia, Sur De Valdivia, Valdivia"
211,casa,venta,Valdivia,227.000.000,137 m² útiles,"C. Gregorio Henríquez Y Santillán 769, Valdivia, Sur De Valdivia, Valdivia"
212,casa,venta,Valdivia,130.000.000,75 m² útiles,"Brisas De La Ribera, Valdivia, Las Animas, Valdivia"
213,casa,venta,Valdivia,261200000,250 m² útiles,"Av. España 703, Valdivia, Las Animas, Valdivia"
214,casa,venta,Valdivia,225.000.000,188 m² útiles,"Aguas Del Obispo, Valdivia"
215,casa,venta,Valdivia,548000000,294 m² útiles,"Camino Valdivia A Niebla, Niebla, Valdivia"
216,casa,venta,Valdivia,125.000.000,70 m² útiles,"María Isabel Riquelme, Valdivia, Las Animas, Valdivia"
217,casa,venta,Valdivia,480000000,146 m² útiles,"Isla Teja - Los Robles, Isla Teja, Valdivia"
218,casa,venta,Valdivia,65.000.000,50 m² útiles,"San Martín 2760, Valdivia, Sur De Valdivia, Valdivia"
219,casa,venta,Valdivia,158.000.000,118 m² útiles,"Sector Tres Espinos, Valdivia"
220,casa,venta,Valdivia,756000000,250 m² útiles,"5M3Q+57 Valdivia, Chile, Valdivia"
221,casa,venta,Valdivia,130.000.000,200 m² útiles,"Errázuriz 2661, Sur De Valdivia, Valdivia"
222,casa,venta,Valdivia,226.000.000,137 m² útiles,"Bosque Sur, Centro De Valdivia, Valdivia"
223,casa,venta,Valdivia,80.000.000,42 m² útiles,"Las Minas, Valdivia"
224,casa,venta,Valdivia,150.000.000,198 m² útiles,"Costanera Heroes Navales, S/n, Niebla, Valdivia"
225,casa,venta,Valdivia,290.000.000,141 m² útiles,"Angel Muñoz, 900 - 1200, Sur De Valdivia, Valdivia"
226,casa,venta,Valdivia,460000000,200 m² útiles,"Condominio El Bayo, Valdivia, Torobayo, Valdivia"
227,casa,venta,Valdivia,310000000,117 m² útiles,"Janequeo, 380, Centro De Valdivia, Valdivia"
228,casa,venta,Valdivia,260000000,100 m² útiles,"Veintidós De Mayo, 1873, Campo Militar De Valdivia, Valdivia"
229,casa,venta,Valdivia,290.000.000,148 m² útiles,"Avenida Simpson, 979, Sur De Valdivia, Valdivia"
230,casa,venta,Valdivia,198.000.000,75 m² útiles,"Isla Del Rey, 2184, Sur De Valdivia, Valdivia"
231,casa,venta,Valdivia,480000000,411 m² útiles,"Altos De Quitacalzón, Valdivia"
232,casa,venta,Valdivia,150.000.000,180 m² útiles,"Valle Hondo 1 - 300, Sur De Valdivia, Valdivia"
233,casa,venta,Valdivia,190.000.000,174 m² útiles,"Avenida Francia, 1720, Sur De Valdivia, Valdivia"
234,casa,venta,Valdivia,350.000.000,300 m² útiles,"Federico Hettich 1 - 300, Campo Militar De Valdivia, Valdivia"
235,casa,venta,Valdivia,88.000.000,110 m² útiles,"Avenida Argentina 1 - 300, Sur De Valdivia, Valdivia"
236,casa,venta,Valdivia,368000000,220 m² útiles,"Los Robles , 76, Valdivia"
237,casa,venta,Valdivia,292800000,275 m² útiles,"Camino A Paillaco, S/n, Valdivia"
238,casa,venta,Valdivia,500000000,220 m² útiles,"Los Aromos , S/n, Valdivia"
239,casa,venta,Valdivia,360.000.000,280 m² útiles,"Camino Cuesta De Soto, 2, Valdivia"
240,casa,venta,Valdivia,236000000,72 m² útiles,"T-302, 300, Valdivia"
241,casa,venta,Valdivia,756000000,249 m² útiles,"T-302, 302, Valdivia"
242,casa,venta,Valdivia,600000000,230 m² útiles,"El Arboreto, Valdivia, Isla Teja, Valdivia"
243,casa,venta,Valdivia,680000000,180 m² útiles,"San Sebastián 152, Valdivia, Torobayo, Valdivia"
244,casa,venta,Valdivia,552000000,284 m² útiles,Valdivia
245,casa,venta,Valdivia,348000000,102 m² útiles,"Los Silos, 151, Torobayo, Valdivia"
246,casa,venta,Valdivia,452000000,190 m² útiles,"Condominio El Bayo, 12, Torobayo, Valdivia"
247,casa,venta,Valdivia,359600000,140 m² útiles,"Isla Teja, Isla Teja, Valdivia"
248,casa,venta,Valdivia,230.000.000,200 m² útiles,"René Schneider & Avenida Circunvalación Sur, Valdivia, Chile, Sur De Valdivia, Valdivia"
249,casa,venta,Valdivia,740000000,392 m² útiles,"Pintor Ricardo Anwandter, 200, Isla Teja, Valdivia"
250,casa,venta,Valdivia,260.000.000,155 m² útiles,"Luxemburgo 1880, 5090462 Valdivia, Los Ríos, Chile, Sur De Valdivia, Valdivia"
