y1,y11,y20amonto,y26_2c,y26_1amonto,sexo,region,esc,estrato,oficio1_88,oficio1,y29_2b
270000.0,,,,,2,14,12.0,141011,9.0,9131.0,0.0
,0.0,,,,1,14,15.0,141011,,,0.0
,0.0,,152000.0,,2,14,5.0,141011,,,152000.0
300000.0,,,,,1,14,10.0,141011,4.0,4141.0,0.0
,,,,104646.0,2,14,6.0,141011,7.0,7436.0,104646.0
,0.0,,,,2,14,15.0,141011,,,0.0
0.0,,,,,1,14,15.0,141011,9.0,9333.0,0.0
0.0,,,,,1,14,15.0,141011,5.0,5220.0,0.0
160000.0,,,,104646.0,2,14,10.0,141011,9.0,9131.0,104646.0
99.0,,,,,1,14,17.0,141011,2.0,2445.0,0.0
,0.0,,,,2,14,17.0,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,0.0,,,,2,14,19.0,141011,,,0.0
1000000.0,,,,,2,14,16.0,141011,2.0,2230.0,0.0
,,,,,2,14,17.0,141011,1.0,1315.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,0.0,,,,1,14,11.0,141011,,,0.0
250000.0,,,,,2,14,12.0,141011,5.0,5131.0,0.0
,0.0,,,,1,14,14.0,141011,,,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
2000000.0,,,800000.0,,1,14,18.0,141011,2.0,2310.0,800000.0
1000000.0,,,400000.0,,2,14,18.0,141011,2.0,2445.0,400000.0
2000000.0,,,,,1,14,17.0,141011,2.0,2223.0,0.0
5000000.0,,,,,2,14,19.0,141011,2.0,2221.0,0.0
,0.0,,,,2,14,19.0,141011,,,0.0
,,,,,1,14,17.0,141011,2.0,2141.0,0.0
950000.0,,,,,2,14,17.0,141011,2.0,2411.0,0.0
,0.0,,,,1,14,18.0,141011,,,0.0
,,,560000.0,,1,14,17.0,141011,2.0,2419.0,560000.0
,0.0,,,,2,14,17.0,141011,,,0.0
3900000.0,,,,,1,14,19.0,141011,2.0,2421.0,0.0
,0.0,,,,2,14,17.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,0.0,,600000.0,,1,14,17.0,141011,,,600000.0
,0.0,,,,2,14,17.0,141011,,,0.0
,,,,,1,14,14.0,141011,1.0,1316.0,0.0
1100000.0,,,,,2,14,17.0,141011,3.0,3433.0,0.0
,0.0,,,,2,14,14.0,141011,,,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,,,,,1,14,18.0,141011,2.0,2213.0,0.0
,0.0,,,,2,14,18.0,141011,,,0.0
,0.0,,,,2,14,16.0,141011,,,0.0
,0.0,,,,2,14,13.0,141011,,,0.0
,0.0,,,,2,14,9.0,141011,,,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,0.0,,600000.0,,2,14,15.0,141011,,,600000.0
,0.0,,450000.0,,2,14,16.0,141011,,,450000.0
800000.0,,,,,2,14,17.0,141011,2.0,2223.0,0.0
,0.0,,457000.0,,2,14,12.0,141011,,,457000.0
,0.0,,350000.0,,2,14,17.0,141011,,,350000.0
,0.0,,,,2,14,14.0,141011,,,0.0
,0.0,,,,1,14,15.0,141011,,,0.0
600000.0,,,,,1,14,17.0,141011,2.0,2320.0,0.0
,,,,,2,14,11.0,141011,2.0,2411.0,0.0
,,,,,1,14,15.0,141011,2.0,2411.0,0.0
400000.0,,,,,1,14,19.0,141011,2.0,2221.0,0.0
1400000.0,,,,,2,14,19.0,141011,2.0,2222.0,0.0
,0.0,,,,1,14,16.0,141011,,,0.0
,,,,,2,14,15.0,141011,7.0,7311.0,0.0
,0.0,,,,1,14,9.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
300000.0,,,,,2,14,12.0,141011,3.0,3439.0,0.0
,0.0,,,,2,14,17.0,141011,,,0.0
500000.0,,,,,2,14,12.0,141011,3.0,3417.0,0.0
500000.0,,,,,1,14,12.0,141011,7.0,7137.0,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,0.0,,400000.0,,2,14,9.0,141011,,,400000.0
,,,,,1,14,15.0,141011,7.0,7243.0,0.0
,0.0,,,104646.0,2,14,9.0,141011,,,104646.0
,0.0,,170000.0,,1,14,6.0,141011,,,170000.0
,0.0,,,104646.0,2,14,,141011,,,104646.0
,0.0,,,,2,14,11.0,141011,,,0.0
,,,,,1,14,12.0,141011,7.0,7124.0,0.0
,,,,,2,14,17.0,141011,3.0,3226.0,0.0
,,,,,2,14,,141011,,,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,,,,,2,14,12.0,141011,8.0,8322.0,0.0
,0.0,,,,1,14,10.0,141011,,,0.0
,0.0,,,,1,14,15.0,141011,,,0.0
650000.0,,,,,2,14,17.0,141011,2.0,2331.0,0.0
,0.0,,,,2,14,10.0,141011,,,0.0
,,,,,1,14,14.0,141011,1.0,1315.0,0.0
,0.0,,,,2,14,17.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
650000.0,,,,,1,14,12.0,141011,4.0,4121.0,0.0
,0.0,,300000.0,,1,14,6.0,141011,,,300000.0
,0.0,,,104646.0,2,14,6.0,141011,,,104646.0
,0.0,,300000.0,,1,14,17.0,141011,,,300000.0
1500000.0,,,,,1,14,17.0,141011,2.0,2446.0,0.0
