y1,y11,y20amonto,y29_2b,sexo,region,esc,estrato,oficio1
,,,,2,14,,1410824,
,,,,1,14,8.0,1410824,
,,,,2,14,8.0,1410824,
,,,,1,14,10.0,1410824,
,,,,2,14,4.0,1420214,
405000.0,,,,1,14,12.0,1420214,9.0
,,,,1,14,12.0,1420214,7.0
,,,214296.0,1,14,8.0,1420214,
,,,,2,14,7.0,1420214,
700000.0,,,,1,14,12.0,1420214,7.0
650000.0,,,,1,14,12.0,1420214,9.0
,,21243.0,,1,14,10.0,1420214,
,,21243.0,,1,14,,1420214,
500000.0,,,,1,14,12.0,1420214,3.0
,,,,2,14,12.0,1420214,5.0
,,,,1,14,11.0,1420214,3.0
,,,,2,14,12.0,1420214,
,,,,2,14,13.0,1420214,
,,,,1,14,,1420214,
,,,,1,14,,1420214,
,,,,1,14,12.0,1420214,7.0
,,,,2,14,12.0,1420214,
500000.0,,,,1,14,6.0,1410111,7.0
,,,,2,14,9.0,1410111,
,,,,2,14,12.0,1410111,
,,,,1,14,12.0,1410111,
,,,214000.0,2,14,4.0,1410111,
,,,,1,14,12.0,1410111,6.0
200000.0,,,,2,14,9.0,1410111,9.0
,,,270000.0,1,14,5.0,1410111,
500000.0,,,,1,14,12.0,1410111,7.0
,,,,2,14,,1410111,
,,,,2,14,10.0,1410111,
,,,300000.0,2,14,4.0,1410111,
,,,,2,14,12.0,1410111,
500000.0,,,,1,14,12.0,1410111,7.0
,,,,1,14,13.0,1410111,
,,21243.0,,1,14,,1410111,
,,21243.0,,1,14,,1410111,
1500000.0,,,,2,14,17.0,1410112,2.0
700000.0,,,,1,14,12.0,1410112,2.0
,,,,2,14,,1410112,
,,,,1,14,17.0,1410112,8.0
,,,599000.0,1,14,14.0,1410112,
,,,192000.0,2,14,14.0,1410112,
500000.0,,,,1,14,15.0,1410112,4.0
,,,,1,14,0.0,1410112,
500000.0,,,,2,14,13.0,1410112,3.0
,,,,2,14,15.0,1410112,5.0
