id_hogar,region,estrato,edad,alfabetismo,asiste_actualmente,razon_no_asistencia,ultimo_año_asistencia,nivel_educacion,curso,jefe_hogar,año
1410110190401.0,14,141011,26,1,1,,,13.0,5,0,2017
1410110190501.0,14,141011,53,1,2,,,13.0,6,1,2017
1410110190501.0,14,141011,42,1,2,,,12.0,2,0,2017
1410110190501.0,14,141011,21,1,1,,,13.0,1,0,2017
1410110190501.0,14,141011,19,1,1,,,13.0,1,0,2017
1410110190501.0,14,141011,16,1,1,,,9.0,2,0,2017
1410110190901.0,14,141011,57,1,2,,,13.0,5,1,2017
1410110190901.0,14,141011,43,9,2,,,13.0,5,0,2017
1410110190901.0,14,141011,4,,1,,,4.0,,0,2017
1410110190901.0,14,141011,1,,2,,,1.0,,0,2017
1410110191001.0,14,141011,61,1,2,,,9.0,4,1,2017
1410110191001.0,14,141011,54,1,2,,,13.0,5,0,2017
1410110201401.0,14,141011,56,1,2,,,13.0,5,1,2017
1410110201401.0,14,141011,49,1,2,,,13.0,5,0,2017
1410110201401.0,14,141011,15,1,1,,,9.0,1,0,2017
1410110201401.0,14,141011,14,,1,,,7.0,8,0,2017
1410110201501.0,14,141011,72,1,2,,,13.0,5,1,2017
1410110201501.0,14,141011,73,1,2,,,13.0,6,0,2017
1410110210301.0,14,141011,71,1,2,,,13.0,3,1,2017
1410110210301.0,14,141011,94,1,2,,,6.0,4,0,2017
1410110210401.0,14,141011,54,1,2,,,13.0,5,1,2017
1410110210401.0,14,141011,45,1,2,,,15.0,8,0,2017
1410110210401.0,14,141011,24,1,2,12,2,12.0,2,0,2017
1410110210401.0,14,141011,20,1,1,,,13.0,1,0,2017
1410110210401.0,14,141011,6,,1,,,4.0,,0,2017
1410110220301.0,14,141011,76,1,2,,,13.0,5,1,2017
1410110220301.0,14,141011,63,1,2,,,13.0,5,0,2017
1410110220301.0,14,141011,29,1,2,7,9,13.0,5,0,2017
1410110230101.0,14,141011,45,1,2,,,13.0,6,1,2017
1410110230101.0,14,141011,45,1,2,,,13.0,6,0,2017
1410110230101.0,14,141011,13,,1,,,7.0,8,0,2017
1410110230101.0,14,141011,5,,1,,,4.0,,0,2017
1410110230101.0,14,141011,4,,1,,,3.0,,0,2017
1410110230601.0,14,141011,65,1,2,,,13.0,4,1,2017
1410110230601.0,14,141011,62,1,2,,,9.0,4,0,2017
1410110230601.0,14,141011,29,1,2,12,2,12.0,3,0,2017
1410110230601.0,14,141011,33,1,2,,,13.0,6,0,2017
1410110230601.0,14,141011,6,,1,,,7.0,1,0,2017
1410110230701.0,14,141011,87,1,2,,,8.0,6,1,2017
1410110230701.0,14,141011,85,1,2,,,13.0,2,0,2017
1410110230801.0,14,141011,38,1,2,,,13.0,5,1,2017
1410110230901.0,14,141011,39,1,2,,,11.0,4,1,2017
1410110230901.0,14,141011,45,1,2,,,13.0,5,0,2017
1410110230901.0,14,141011,15,1,1,,,9.0,1,0,2017
1410110230901.0,14,141011,8,,1,,,7.0,2,0,2017
1410110231001.0,14,141011,69,1,2,,,13.0,5,1,2017
1410110231001.0,14,141011,73,1,2,,,13.0,5,0,2017
1410110231101.0,14,141011,67,1,2,,,13.0,6,1,2017
1410110231101.0,14,141011,63,1,2,,,13.0,4,0,2017
1410110231101.0,14,141011,30,1,1,,,13.0,5,0,2017
1410110231201.0,14,141011,21,1,1,,,13.0,3,1,2017
1410110231301.0,14,141011,80,1,2,,,15.0,7,1,2017
1410110231301.0,14,141011,84,1,2,,,13.0,5,0,2017
1410110231401.0,14,141011,63,1,2,,,13.0,2,1,2017
1410110231401.0,14,141011,64,1,2,,,12.0,1,0,2017
1410110231501.0,14,141011,69,1,2,,,13.0,6,1,2017
1410110231501.0,14,141011,18,1,1,,,9.0,4,0,2017
1410110231601.0,14,141011,64,1,2,,,13.0,5,1,2017
1410110231601.0,14,141011,57,1,2,,,9.0,4,0,2017
1410110231601.0,14,141011,36,1,2,,,13.0,5,0,2017
1410110231601.0,14,141011,12,,1,,,7.0,7,0,2017
1410110231601.0,14,141011,1,,2,,,1.0,,0,2017
1410110231801.0,14,141011,66,1,2,,,12.0,2,1,2017
1410110231801.0,14,141011,68,1,2,,,12.0,3,0,2017
1410110231801.0,14,141011,19,1,1,,,13.0,2,0,2017
1410110231901.0,14,141011,66,1,2,,,13.0,5,1,2017
1410110232001.0,14,141011,29,1,2,12,2,13.0,5,1,2017
1410110232201.0,14,141011,52,1,2,,,13.0,4,1,2017
1410110232201.0,14,141011,41,1,2,,,13.0,2,0,2017
1410110232201.0,14,141011,22,1,2,12,3,9.0,4,0,2017
1410110232201.0,14,141011,11,,1,,,7.0,5,0,2017
1410110232201.0,14,141011,7,,1,,,7.0,1,0,2017
1410110232201.0,14,141011,3,,1,,,3.0,,0,2017
1410110240101.0,14,141011,57,1,2,,,9.0,4,1,2017
1410110240101.0,14,141011,52,1,2,,,9.0,1,0,2017
1410110240101.0,14,141011,55,1,2,,,9.0,4,0,2017
1410110240101.0,14,141011,22,1,2,7,4,9.0,4,0,2017
1410110240201.0,14,141011,53,1,2,,,9.0,4,1,2017
1410110240201.0,14,141011,24,1,2,7,1,13.0,4,0,2017
1410110240301.0,14,141011,82,1,2,,,9.0,4,1,2017
1410110240401.0,14,141011,84,1,2,,,9.0,4,1,2017
1410110250201.0,14,141011,65,1,2,,,7.0,8,1,2017
1410110250201.0,14,141011,56,1,2,,,9.0,3,0,2017
1410110250301.0,14,141011,56,1,2,,,7.0,8,1,2017
1410110250501.0,14,141011,52,1,2,,,9.0,4,1,2017
1410110250501.0,14,141011,50,4,2,,,9.0,4,0,2017
1410110250501.0,14,141011,26,1,1,,,13.0,3,0,2017
1410110250601.0,14,141011,74,1,2,,,6.0,5,1,2017
1410110250601.0,14,141011,53,1,2,,,9.0,2,0,2017
1410110250701.0,14,141011,68,1,2,,,6.0,6,1,2017
1410110250901.0,14,141011,22,1,1,,,13.0,3,1,2017
1410110250901.0,14,141011,21,1,1,,,13.0,3,0,2017
1410110250901.0,14,141011,20,1,1,,,13.0,3,0,2017
1410110251001.0,14,141011,68,1,2,,,8.0,4,1,2017
1410110251101.0,14,141011,30,1,2,99,9,13.0,5,1,2017
1410110251101.0,14,141011,31,1,2,,,13.0,5,0,2017
1410110251101.0,14,141011,2,,1,,,3.0,,0,2017
1410110260101.0,14,141011,72,1,2,,,15.0,7,1,2017
1410110260101.0,14,141011,51,1,2,,,13.0,4,0,2017
1410110260201.0,14,141011,37,1,2,,,13.0,5,1,2017
1410110260201.0,14,141011,62,1,2,,,11.0,4,0,2017
1410110260201.0,14,141011,20,1,1,,,9.0,3,0,2017
1410110260401.0,14,141011,50,1,2,,,9.0,4,1,2017
1410110260401.0,14,141011,28,1,1,,,13.0,2,0,2017
1410110260401.0,14,141011,21,1,2,9,9,9.0,4,0,2017
1410110270101.0,14,141011,70,1,2,,,13.0,6,1,2017
1410110270101.0,14,141011,70,1,2,,,13.0,6,0,2017
1410110270401.0,14,141011,63,1,2,,,13.0,5,1,2017
1410110270401.0,14,141011,60,1,2,,,13.0,7,0,2017
1410110270401.0,14,141011,27,1,1,,,13.0,7,0,2017
1410110280101.0,14,141011,62,1,2,,,13.0,5,1,2017
1410110280101.0,14,141011,51,1,2,,,13.0,5,0,2017
1410110280101.0,14,141011,26,1,1,,,13.0,6,0,2017
